Soy,Tengo,México,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,31 - 33,Guadalajara,10+,7 - 8,Networking,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,25000,Neto,5,5,De uno a tres sueldos,Performance de la compañía,No,0,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos
Hombre,21 - 23,México DF,3 - 5,2 - 3,DBA,,,,,MSSQL,"Sí, activa",0,Bruto,Full-Time,5000,Neto,1,1,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,México DF,1 - 2,5 - 6,HelpDesk,,,,,,No,2000,Bruto,Full-Time,12000,Bruto,2,3,Menos de un sueldo,Performance individual,No,0,1001+,No,No cambié de empresa,"Bonos por desempeño;Capacitaciones y/o cursos;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Playroom;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Guadalajara,5 - 7,2 - 3,Networking,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,16000,Neto,1,2,Un sueldo,No recibo bono,Uno,10,1001+,No,No cambié de empresa,Capacitaciones y/o cursos;Laptop;Sueldo divido en dos pagos por mes
Hombre,24 - 26,México DF,1 - 2,Menos de un año,Developer,,HTML;Javascript;Sql,,,,No,0,Neto,Full-Time,15000,Neto,3,3,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Cuota para universidad;Descuentos en gimnasios;Laptop;Sueldo divido en dos pagos por mes
Hombre,24 - 26,México DF,5 - 7,3 - 4,Developer,,.NET;C#;CSS;HTML;Javascript,,,,No,0,Porcentaje de mi sueldo,Full-Time,31000,Bruto,4,3,No,No recibo bono,Dos,2,1001+,No,No cambié de empresa,"Aumento por inflación;Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Playroom;Snacks, golosinas, bebidas, etc;Viajes al exterior;Viáticos;WFH (Trabajar desde casa)"
Hombre,27 - 30,México DF,5 - 7,Menos de un año,Developer,,HTML;Javascript;jQuery;PHP;Python,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,25000,Bruto,5,5,No,No recibo bono,No,0,201-500,Sí,Desafíos profesionales,Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Sueldo divido en dos pagos por mes;Viáticos
Hombre,24 - 26,Guadalajara,1 - 2,Menos de un año,Soporte Tecnico sistemas administrativos,,,,,,,,,Full-Time,7000,Neto,3,2,No,No recibo bono,Uno,20,1-10,No,No cambié de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,24 - 26,Reynosa,1 - 2,1 - 2,SysAdmin / DevOps,Linux;Windows,,,,,No,0,Bruto,Full-Time,10000,Neto,1,1,De uno a tres sueldos,Performance de la compañía,No,0,1-10,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,31 - 33,Veracruz,5 - 7,1 - 2,Networking,,,,,,No,0,Neto,Freelance,8000,Neto,3,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Aguascalientes,3 - 5,Menos de un año,HelpDesk,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,23094,Neto,4,4,No,No recibo bono,No,0,1001+,Sí,Salario,Capacitaciones y/o cursos;Clases de idiomas
Hombre,27 - 30,Chihuahua,3 - 5,Menos de un año,Developer,,.NET;C#;CSS;HTML;Java;jQuery;NodeJS;VB *,,,,No,0,Neto,Full-Time,18000,Neto,4,3,De uno a tres sueldos,Performance individual,No,0,501-1000,Sí,Desafíos profesionales,Abono de celular y/o Internet;Comidas pagas/subvencionadas;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos;WFH (Trabajar desde casa)
Hombre,27 - 30,Monterrey,5 - 7,5 - 6,Developer,,.NET;C;C++;C#;VB *,,,,No,0,Neto,Full-Time,23000,Bruto,3,4,No,No recibo bono,Uno,4,1001+,No,No cambié de empresa,Aumento por inflación;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias)
Mujer,27 - 30,Monterrey,3 - 5,1 - 2,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery;VB *,,,,No,0,Porcentaje de mi sueldo,Full-Time,24000,Neto,3,3,No,No recibo bono,No,0,11-50,Sí,Mayor comodidad,Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes
Hombre,24 - 26,Villahermosa,3 - 5,1 - 2,SysAdmin / DevOps,Windows,,,,,No,300,Porcentaje de mi sueldo,Full-Time,10000,Bruto,3,2,No,No recibo bono,Uno,4,201-500,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,18 - 20,Monterrey,Menos de un año,Menos de un año,Sistemas,,,,,,,,,Full-Time,6000,Bruto,3,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Capacitaciones y/o cursos;Sueldo divido en dos pagos por mes
Hombre,21 - 23,Cancún,1 - 2,1 - 2,SysAdmin / DevOps,Windows,,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,3,3,Menos de un sueldo,No recibo bono,No,0,1001+,Sí,Desafíos profesionales,Horarios flexibles;Sueldo divido en dos pagos por mes
Hombre,27 - 30,Tijuana,3 - 5,1 - 2,Developer,,.NET;Java;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Bruto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,31 - 33,Mérida,8 - 10,3 - 4,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Part-Time,10000,Neto,4,3,No,No recibo bono,Uno,3,51-100,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos
Mujer,21 - 23,Chihuahua,1 - 2,1 - 2,Developer,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,11000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Tijuana,1 - 2,1 - 2,Developer,,HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,16000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Capacitaciones y/o cursos;Laptop;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)
Hombre,21 - 23,México DF,3 - 5,Menos de un año,Developer,,.NET;C#;CSS;HTML;Java;Javascript;jQuery,,,,No,0,Neto,Full-Time,21000,Neto,4,4,No,No recibo bono,Uno,2,1-10,Sí,Desafíos profesionales,"Laptop;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,31 - 33,Querétaro,3 - 5,1 - 2,Storage / Backup,,,,,,No,0,Bruto,Full-Time,10000,Bruto,4,4,Menos de un sueldo,Mix de las anteriores,Uno,6,101-200,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Laptop
Hombre,34 - 36,México DF,8 - 10,3 - 4,SysAdmin / DevOps,Windows;VMWare,,,,,No,0,Porcentaje de mi sueldo,Full-Time,25000,Bruto,4,4,De uno a tres sueldos,Performance de la compañía,Uno,13,101-200,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)
Mujer,31 - 33,México DF,8 - 10,4 - 5,PM,,,,,,,,,Full-Time,26500,Bruto,2,3,Menos de un sueldo,Performance individual,No,0,1001+,No,No cambié de empresa,Bonos por desempeño;Laptop;Sueldo divido en dos pagos por mes;Seguro de gastos médicos mayores ybmenores
Hombre,27 - 30,Ciudad Juárez,5 - 7,2 - 3,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,11000,Neto,1,1,No,No recibo bono,Uno,2,501-1000,No,No cambié de empresa,Aumento por inflación;Bonos por desempeño;Laptop;Sueldo divido en dos pagos por mes
Hombre,18 - 20,México DF,3 - 5,1 - 2,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Freelance,2000,Bruto,3,4,De uno a tres sueldos,Mix de las anteriores,No,0,1-10,No,No cambié de empresa,Comidas pagas/subvencionadas
Hombre,31 - 33,León,10+,4 - 5,Networking,,,,,,No,15000,Neto,Full-Time,15000,Neto,4,3,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,Abono de celular y/o Internet;Comidas pagas/subvencionadas;Descuentos en gimnasios;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos
Hombre,21 - 23,Monterrey,1 - 2,Menos de un año,CTO,,,,,,,,,Full-Time,22000,Neto,5,5,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,27 - 30,Monterrey,5 - 7,1 - 2,Developer,,CSS;HTML;Java;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,25000,Neto,2,3,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,18 - 20,Guadalajara,Menos de un año,Menos de un año,Networking,,,,,,No,0,Neto,Part-Time,6000,Bruto,3,3,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Puebla de Zaragoza,1 - 2,1 - 2,SysAdmin / DevOps,Windows,,,,,No,0,Neto,Full-Time,4729,Bruto,2,2,De uno a tres sueldos,Performance de la compañía,No,2,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,41 - 45,Tijuana,10+,10+,QA / Tester,,,Mix,Visual Studio Coded UI,,,,,Full-Time,25000,Bruto,2,2,No,No recibo bono,Uno,5,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Laptop;automovil
Hombre,24 - 26,León,3 - 5,4 - 5,HelpDesk,,,,,,No,0,Bruto,Full-Time,6800,Bruto,3,4,No,No recibo bono,Uno,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Veracruz,3 - 5,2 - 3,Developer,,HTML;Java;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,8000,Neto,4,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Laptop;Sueldo divido en dos pagos por mes
Hombre,27 - 30,Veracruz,3 - 5,2 - 3,Developer,,HTML;Java;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,8000,Neto,4,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Laptop;Sueldo divido en dos pagos por mes
