Soy,Tengo,Uruguay,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,24 - 26,Montevideo,1 - 2,Menos de un año,HelpDesk,,,,,,"Sí, activa",5000,Bruto,Full-Time,27000,Bruto,2,1,No,No recibo bono,No,0,101-200,Sí,Desafíos profesionales,Ninguna de las anteriores;ninguno
Hombre,21 - 23,Las Piedras,3 - 5,1 - 2,SysAdmin / DevOps,Linux;Windows,,,,,No,0,Neto,Part-Time,23000,Neto,5,4,No,No recibo bono,Uno,2,51-100,No,No cambié de empresa,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Montevideo,3 - 5,3 - 4,Consultor ,,,,,,,,,Full-Time,38000,Neto,2,2,Un sueldo,Performance de la compañía,No,0,201-500,No,No cambié de empresa,Clases de idiomas;Laptop
Hombre,21 - 23,Montevideo,1 - 2,Menos de un año,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,26000,Bruto,2,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Aumento por inflación;Ninguna de las anteriores
Hombre,34 - 36,Montevideo,8 - 10,2 - 3,HelpDesk,,,,,,No,0,Neto,Full-Time,28000,Bruto,2,2,No,No recibo bono,Uno,9,201-500,No,No cambié de empresa,Comidas pagas/subvencionadas;Descuentos en gimnasios
Hombre,24 - 26,Montevideo,5 - 7,2 - 3,Developer,,.NET;C#;CSS;HTML;Java;Javascript;jQuery;PHP,,,,"Sí, pasiva",0,Bruto,Part-Time,34500,Bruto,3,2,Menos de un sueldo,Performance de la compañía,No,0,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Montevideo,5 - 7,1 - 2,Developer,,.NET;CSS;HTML;Javascript;jQuery,,,,No,0,Neto,Full-Time,50000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Aumento por inflación;Horarios flexibles
Hombre,31 - 33,Montevideo,5 - 7,3 - 4,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,21000,Neto,3,2,Un sueldo,Performance de la compañía,Uno,9,201-500,No,No cambié de empresa,Capacitaciones y/o cursos;Clases de idiomas;Viáticos
Hombre,24 - 26,Montevideo,1 - 2,1 - 2,HelpDesk,,,,,,No,0,Bruto,Full-Time,24000,Neto,3,3,Menos de un sueldo,Performance individual,Uno,9.4,1001+,No,No cambié de empresa,Bonos por desempeño;Capacitaciones y/o cursos;Descuentos en gimnasios;Bono por idioma extranjero.
Mujer,34 - 36,Montevideo,5 - 7,4 - 5,HelpDesk,,,,,,No,0,Neto,Full-Time,38,Neto,4,2,Un sueldo,Performance de la compañía,Uno,8,201-500,No,No cambié de empresa,"Comidas pagas/subvencionadas;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Montevideo,Menos de un año,2 - 3,QA / Tester,,,Funcional,Test Complete,,,,,Full-Time,31000,Neto,3,3,No,No recibo bono,No,9,1001+,No,No cambié de empresa,Aumento por inflación
Mujer,34 - 36,Montevideo,8 - 10,Menos de un año,PM,,,,,,,,,Full-Time,60000,Neto,5,3,Menos de un sueldo,Performance individual,No,0,11-50,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);mejor seguro médico "
Hombre,37 - 40,Montevideo,10+,5 - 6,HelpDesk,,,,,,"Sí, activa",10300,Bruto,Full-Time,32500,Neto,3,1,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Maldonado,5 - 7,5 - 6,DBA,,,,,Citrix,No,0,Porcentaje de mi sueldo,Full-Time,190000,Neto,5,3,Un sueldo,Mix de las anteriores,Dos,9,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Horarios flexibles;Laptop
Hombre,24 - 26,Montevideo,1 - 2,1 - 2,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,No,0,Bruto,Part-Time,31700,Bruto,3,4,Menos de un sueldo,Performance de la compañía,Uno,6,201-500,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Horarios flexibles;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,21 - 23,Montevideo,3 - 5,Menos de un año,Support,,,,,,,,,Full-Time,23000,Neto,2,2,No,No recibo bono,Uno,9,201-500,No,No cambié de empresa,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,27 - 30,Montevideo,5 - 7,1 - 2,SysAdmin / DevOps,Windows,,,,,"Sí, pasiva",0,Neto,Full-Time,60000,Neto,5,4,Un sueldo,Performance de la compañía,Uno,8,1-10,No,Desafíos profesionales,"Abono de celular y/o Internet;Aumento por inflación;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop"
Hombre,21 - 23,Montevideo,1 - 2,Menos de un año,Developer,,CSS;HTML;Javascript;NodeJS,,,,No,0,Neto,Full-Time,50000,Neto,3,3,No,No recibo bono,No,0,1-10,Sí,Desafíos profesionales,Horarios flexibles
Hombre,27 - 30,Montevideo,8 - 10,6 - 7,PM,,,,,,,,,Full-Time,93000,Bruto,2,3,No,No recibo bono,Uno,5,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,Montevideo,8 - 10,4 - 5,Developer,,Java;Genexus,,,,No,0,Bruto,Full-Time,95000,Bruto,5,3,No,No recibo bono,Uno,3.6,1001+,No,No cambié de empresa,Aumento por inflación;Comidas pagas/subvencionadas;Horarios flexibles
Hombre,34 - 36,Paysandú,8 - 10,5 - 6,It manager,,,,,,,,,Full-Time,60000,Neto,3,2,No,No recibo bono,Uno,3,101-200,No,No cambié de empresa,Abono de celular y/o Internet
