Soy,Tengo,Perú,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,27 - 30,Lima,5 - 7,1 - 2,Storage / Backup,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,6500,Bruto,2,2,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Horarios flexibles;Stock options;Viáticos;WFH (Trabajar desde casa)
Hombre,27 - 30,Lima,5 - 7,3 - 4,Developer,,.NET;CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,5500,Neto,3,3,No,No recibo bono,No,0,1001+,Sí,Desafíos profesionales,Capacitaciones y/o cursos
Hombre,31 - 33,Arequipa,5 - 7,2 - 3,Developer,,GENEXUS,,,,No,0,Porcentaje de mi sueldo,Full-Time,2300,Bruto,3,3,De uno a tres sueldos,Mix de las anteriores,No,0,201-500,No,No cambié de empresa,Bonos por desempeño;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos
Hombre,21 - 23,Lima,3 - 5,1 - 2,SysAdmin / DevOps,Windows;VMWare;Todo..,,,,,No,0,Neto,Full-Time,2000,Bruto,2,2,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Lima,5 - 7,Menos de un año,SysAdmin / DevOps,Linux;AWS / Rackspace;VMWare,,,,,"Sí, pasiva",140,Bruto,Full-Time,4200,Bruto,4,3,Menos de un sueldo,Performance individual,Uno,5,11-50,Sí,Salario,"Aumento por inflación;Capacitaciones y/o cursos;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Viajes al exterior;WFH (Trabajar desde casa)"
Hombre,24 - 26,Lima,1 - 2,1 - 2,Networking,,,,,,No,0,Bruto,Full-Time,1.4,Neto,3,4,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Trujillo,5 - 7,Menos de un año,Developer,,CSS;HTML;Java;Javascript;jQuery;PHP;Python,,,,No,0,Bruto,Full-Time,1700,Neto,4,5,Un sueldo,Performance grupal,No,0,11-50,Sí,Desafíos profesionales,"Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,21 - 23,Lima,3 - 5,Menos de un año,Developer,,Java,,,,No,0,Porcentaje de mi sueldo,Full-Time,3400,Bruto,4,5,No,No recibo bono,No,0,101-200,Sí,Salario,Vacaciones flexibles (adicionales a las reglamentarias)
Mujer,27 - 30,Lima,5 - 7,2 - 3,Developer,,HTML;Javascript;jQuery;NodeJS;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,5200,Neto,4,5,3+ sueldos,Performance de la compañía,No,0,1001+,No,No cambié de empresa,Bonos por desempeño;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios;Horarios flexibles
Hombre,24 - 26,Lima,5 - 7,1 - 2,Networking,,,,,,No,0,Bruto,Full-Time,3200,Bruto,3,4,De uno a tres sueldos,Performance de la compañía,No,0,1001+,No,No cambié de empresa,"Capacitaciones y/o cursos;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior"
Hombre,27 - 30,Lima,8 - 10,2 - 3,Developer,,.NET;C#;CSS;HTML;Java;Javascript;jQuery;NodeJS;PHP;Python;VB *,,,,No,0,Neto,Full-Time,800,Neto,1,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Lima,1 - 2,1 - 2,Developer,,.NET;C#;CSS;HTML;NodeJS;VB *;SQL,,,,No,0,Porcentaje de mi sueldo,Part-Time,1200,Bruto,3,3,Un sueldo,Performance de la compañía,No,0,1001+,No,No cambié de empresa,"Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,18 - 20,Lima,1 - 2,Menos de un año,Networking,,,,,,No,0,Neto,Full-Time,850,Neto,4,4,No,No recibo bono,No,0,1-10,Sí,Mejores beneficios,Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Horarios flexibles
Hombre,24 - 26,Piura,5 - 7,Menos de un año,SysAdmin / DevOps,Windows;VMWare,,,,,No,0,Bruto,Full-Time,850,Bruto,2,4,Menos de un sueldo,Performance individual,No,0,1-10,Sí,Salario,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Viáticos"
Hombre,24 - 26,Lima,1 - 2,1 - 2,IT auditor ,,,,,,,,,Full-Time,2600,Bruto,3,3,De uno a tres sueldos,Mix de las anteriores,No,0,201-500,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Descuentos en gimnasios;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos"
